question,course,document
How do the recorded videos relate to the Python version?,data-engineering-zoomcamp,19
Should I use my local machine for the course environment?,data-engineering-zoomcamp,20
"What challenges might I face using a local machine, especially on Windows?",data-engineering-zoomcamp,20
Can I start with the Introduction to Docker on my local machine?,data-engineering-zoomcamp,20
What are the steps to set up a virtual machine for the course?,data-engineering-zoomcamp,20
Can I work on the course using GitHub Codespaces?,data-engineering-zoomcamp,20
Is GitHub Codespaces a viable alternative to using CLI/Git Bash for ingesting data and creating a Docker file?,data-engineering-zoomcamp,21
Can I use GitHub Codespaces for Linux computing resources with pre-installed tools like Docker and Docker Compose?,data-engineering-zoomcamp,21
Is Python also available in GitHub Codespaces?,data-engineering-zoomcamp,21
Can I open any GitHub repository in a GitHub Codespace?,data-engineering-zoomcamp,21
What are the benefits of using GitHub Codespaces over traditional CLI/Git Bash methods?,data-engineering-zoomcamp,21
Do we have to use GitHub codespaces for the course?,data-engineering-zoomcamp,22
Can I use my existing PostgreSQL & Docker installation?,data-engineering-zoomcamp,22
Are these the only platforms suggested for the course?,data-engineering-zoomcamp,22
Can I complete the course using just my laptop?,data-engineering-zoomcamp,22
What are the benefits of using GitHub codespaces or GCP VM?,data-engineering-zoomcamp,22
Do I need both GitHub Codespaces and GCP for this course?,data-engineering-zoomcamp,23
Is it necessary to use both GitHub Codespaces and GCP?,data-engineering-zoomcamp,23
Can I use only one of GitHub Codespaces or GCP for the course?,data-engineering-zoomcamp,23
Is it mandatory to use both GitHub Codespaces and GCP for the end project?,data-engineering-zoomcamp,23
Can I set up a local environment instead of using GitHub Codespaces and GCP?,data-engineering-zoomcamp,23
How do I connect to a GCP VM using VSCode on a Windows machine?,data-engineering-zoomcamp,24
What are the shortcut keys to open the Run command window?,data-engineering-zoomcamp,24
How do I open the Registry Editor?,data-engineering-zoomcamp,24
What are the steps to change the 'Autorun' registry value in 'HKEY_CURRENT_USERSoftwareMicrosoftCommand Processor'?,data-engineering-zoomcamp,24
Where is the 'known_hosts' file located in Windows?,data-engineering-zoomcamp,24
Why are we using GCP instead of other cloud providers like AWS?,data-engineering-zoomcamp,25
Can I use other cloud platforms like AWS for this course?,data-engineering-zoomcamp,25
Why is GCP preferred for uniformity?,data-engineering-zoomcamp,25
What are the benefits of using GCP for this course?,data-engineering-zoomcamp,25
Is a credit card required to sign up for a free GCP account?,data-engineering-zoomcamp,25
Should I pay for cloud services?,data-engineering-zoomcamp,26
Is it necessary to pay for cloud services?,data-engineering-zoomcamp,26
Are cloud services free on GCP?,data-engineering-zoomcamp,26
Can I use GCP's cloud services without paying?,data-engineering-zoomcamp,26
How can I avoid paying for cloud services on GCP?,data-engineering-zoomcamp,26
Is it possible to complete the course without using cloud providers like GCP?,data-engineering-zoomcamp,27
What can I do locally instead of using BigQuery?,data-engineering-zoomcamp,27
Are there local alternatives for all the materials in the course?,data-engineering-zoomcamp,27
Can I complete the entire course using only local resources?,data-engineering-zoomcamp,27
What parts of the course won't have local alternatives?,data-engineering-zoomcamp,27
Can I use AWS in this course?,data-engineering-zoomcamp,28
What adaptations should I make if I use AWS?,data-engineering-zoomcamp,28
Will I be able to get help with AWS-specific issues?,data-engineering-zoomcamp,28
Is there a minimum number of coursemates using AWS?,data-engineering-zoomcamp,28
Can I use a different tool instead of the one recommended?,data-engineering-zoomcamp,28
What other live Zoom calls are there besides Office Hours?,data-engineering-zoomcamp,29
When are the Capstone period calls?,data-engineering-zoomcamp,29
Will there be any other live Zoom sessions apart from Office Hours?,data-engineering-zoomcamp,29
What is the purpose of the Capstone period calls?,data-engineering-zoomcamp,29
How will I be notified about additional live Zoom calls?,data-engineering-zoomcamp,29
Are we using the NYC Trip data from January 2021 or 2022?,data-engineering-zoomcamp,30
Will the project change significantly from last year's?,data-engineering-zoomcamp,30
Where can I find the data for this year's project?,data-engineering-zoomcamp,30
Is the data for this year's project the same as last year's?,data-engineering-zoomcamp,30
What is the link to access the data?,data-engineering-zoomcamp,30
Where is the 2022 course material?,data-engineering-zoomcamp,31
Is the 2022 repo still accessible?,data-engineering-zoomcamp,31
What happened to the 2022 course files?,data-engineering-zoomcamp,31
How can I access the 2022 course content?,data-engineering-zoomcamp,31
Where did the 2022 course material go?,data-engineering-zoomcamp,31
Can I use Airflow for my final project?,data-engineering-zoomcamp,32
Are there any restrictions on the tools I can use for my project?,data-engineering-zoomcamp,32
Is there a specific tool I should use for my final project?,data-engineering-zoomcamp,32
Can I use a tool not mentioned in the course for my project?,data-engineering-zoomcamp,32
What are the acceptable tools for my final project?,data-engineering-zoomcamp,32
Can I use Airflow or Prefect instead of Mage in this course?,data-engineering-zoomcamp,33
Is it possible to use AWS or Snowflake instead of GCP products?,data-engineering-zoomcamp,33
Can I use Tableau instead of Metabase or Google data studio?,data-engineering-zoomcamp,33
Can I use my own tool of choice for the data stack?,data-engineering-zoomcamp,33
Will I receive support if I choose a different stack for my capstone project?,data-engineering-zoomcamp,33
How can we contribute to the course?,data-engineering-zoomcamp,34
What are ways to support the course?,data-engineering-zoomcamp,34
How can we help improve the course?,data-engineering-zoomcamp,34
What actions can we take to contribute to the course?,data-engineering-zoomcamp,34
How can we show our support for the course?,data-engineering-zoomcamp,34
Is the course Linux-friendly?,data-engineering-zoomcamp,35
Can I use Windows for this course?,data-engineering-zoomcamp,35
Is macOS compatible with the course?,data-engineering-zoomcamp,35
Are there any OS-specific requirements for the course?,data-engineering-zoomcamp,35
Can students use different operating systems for this course?,data-engineering-zoomcamp,35
How do I run *.sh shell scripts on Windows?,data-engineering-zoomcamp,36
Is Git Bash or MINGW64 sufficient for running *.sh scripts?,data-engineering-zoomcamp,36
Why is WSL recommended for this course?,data-engineering-zoomcamp,36
What are the Windows alternatives for running shell scripts in later modules?,data-engineering-zoomcamp,36
How can I ensure I can continue with the course on Windows without using WSL?,data-engineering-zoomcamp,36
What books or additional resources would you recommend for this course?,data-engineering-zoomcamp,37
Are there any online resources you suggest for further learning?,data-engineering-zoomcamp,37
Can you provide a list of recommended books for data engineering?,data-engineering-zoomcamp,37
What are some useful online resources for data engineering students?,data-engineering-zoomcamp,37
Is there a document that lists recommended resources for data engineering?,data-engineering-zoomcamp,37
What are Project Attempt #1 and Project Attempt #2?,data-engineering-zoomcamp,38
How many project attempts do I have?,data-engineering-zoomcamp,38
What happens if I miss the first project deadline?,data-engineering-zoomcamp,38
Can I resubmit my project if I fail the first attempt?,data-engineering-zoomcamp,38
What is the deadline for the second project attempt?,data-engineering-zoomcamp,38
How do I start troubleshooting issues in this course?,data-engineering-zoomcamp,39
What should I do if I encounter an error with a specific line of code?,data-engineering-zoomcamp,39
How can I effectively search for solutions to my problems online?,data-engineering-zoomcamp,39
What steps should I take before asking a question in the course's Slack channel?,data-engineering-zoomcamp,39
How can I format my code properly when asking for help?,data-engineering-zoomcamp,39
What am I coding on and what OS am I using?,data-engineering-zoomcamp,40
What specific command did I run or video did I follow?,data-engineering-zoomcamp,40
What error message did I receive and does it have a line number?,data-engineering-zoomcamp,40
What have I already tried that didn't work?,data-engineering-zoomcamp,40
Have I checked my code for typos?,data-engineering-zoomcamp,40
How do I use Git/GitHub for this course?,data-engineering-zoomcamp,41
How do I clone the course repo to my local machine?,data-engineering-zoomcamp,41
How do I create my own repositories on GitHub?,data-engineering-zoomcamp,41
What files should I ignore in my Git repository?,data-engineering-zoomcamp,41
How do I use .gitignore to ignore files?,data-engineering-zoomcamp,41
How do I fix the 'Error: Makefile:2: *** missing separator. Stop.' error in VS Code when using tabs with spaces?,data-engineering-zoomcamp,42
What should I do to resolve the 'missing separator' error in VS Code's Makefile?,data-engineering-zoomcamp,42
How can I convert tabs to spaces in VS Code to avoid the 'Error: Makefile:2: *** missing separator. Stop.' error?,data-engineering-zoomcamp,42
What is the correct way to handle tabs in VS Code's Makefile to avoid errors?,data-engineering-zoomcamp,42
How do I ensure my Makefile in VS Code uses the correct tab format to avoid errors?,data-engineering-zoomcamp,42
How do I open an HTML file using a Windows browser from Linux running on WSL?,data-engineering-zoomcamp,43
Can I customize which browser is used to open HTML files in WSL?,data-engineering-zoomcamp,43
What command should I use to open an HTML file with a specific browser in WSL?,data-engineering-zoomcamp,43
How does the BROWSER environment variable work in WSL?,data-engineering-zoomcamp,43
Is it possible to open HTML files from WSL using the host's browser without installing additional software?,data-engineering-zoomcamp,43
How do I set up Chrome Remote Desktop on a Linux VM instance on Compute Engine?,data-engineering-zoomcamp,44
Why am I getting a 403: Forbidden error when trying to download 2021 Yellow Taxi Trip Records from TLC's website?,data-engineering-zoomcamp,44
What is the correct link to download the 2021 Yellow Taxi Trip Records data?,data-engineering-zoomcamp,44
How do I unzip the downloaded 'gz' file?,data-engineering-zoomcamp,44
Is there a backup source for the TLC data if the main website is inaccessible?,data-engineering-zoomcamp,44
How should I handle taxi data files that are available as *.csv.gz?,data-engineering-zoomcamp,45
What's the issue with storing the data file as 'output.csv.gz'?,data-engineering-zoomcamp,45
"How can I replace 'csv_name = ""output.csv""' with the actual file name from the URL?",data-engineering-zoomcamp,45
What's the URL for the yellow taxi data file?,data-engineering-zoomcamp,45
How can I parse the file name from the URL to use as 'csv_name'?,data-engineering-zoomcamp,45
What are the data dictionaries for the NY Taxi data?,data-engineering-zoomcamp,46
Where can I find the data dictionary for Yellow Trips?,data-engineering-zoomcamp,46
Is there a data dictionary for Green Trips as well?,data-engineering-zoomcamp,46
What specific details does the data dictionary for Yellow Trips cover?,data-engineering-zoomcamp,46
How can I access the data dictionary for Green Trips?,data-engineering-zoomcamp,46
How do I unzip a parquet file in the command line?,data-engineering-zoomcamp,47
What is the command to convert a parquet file to a csv file using pandas?,data-engineering-zoomcamp,47
How can I download a parquet file and save it with a specific name?,data-engineering-zoomcamp,47
What is the function to read a parquet file in pandas?,data-engineering-zoomcamp,47
How do I write a DataFrame to a csv file without indexing?,data-engineering-zoomcamp,47
Why is 'wget' not recognized on my system?,data-engineering-zoomcamp,48
How do I install 'wget' on Ubuntu?,data-engineering-zoomcamp,48
What's the easiest way to install 'wget' on MacOS?,data-engineering-zoomcamp,48
How can I install 'wget' on Windows using Chocolatey?,data-engineering-zoomcamp,48
What's an alternative to 'wget' for downloading files in Python?,data-engineering-zoomcamp,48
Why am I getting a certificate error with wget on MacOS?,data-engineering-zoomcamp,49
How can I verify a website's certificate using wget?,data-engineering-zoomcamp,49
What is the correct syntax to bypass certificate verification with wget?,data-engineering-zoomcamp,49
How can I use Python's wget library to download a file?,data-engineering-zoomcamp,49
Why is it necessary to add '!' before wget in a Jupyter Notebook or CLI?,data-engineering-zoomcamp,49
How do I use the backslash as an escape character in Git Bash for Windows?,data-engineering-zoomcamp,50
What command should I type to make the backslash an escape character in Git Bash on Windows?,data-engineering-zoomcamp,50
How can I set the backslash as the escape character in Git Bash for Windows?,data-engineering-zoomcamp,50
What is the command to use the backslash as an escape character in Git Bash on Windows?,data-engineering-zoomcamp,50
How do I configure Git Bash to use the backslash as an escape character on Windows?,data-engineering-zoomcamp,50
How do I store secrets for GitHub Codespaces?,data-engineering-zoomcamp,51
Where can I find instructions on managing account-specific secrets for GitHub Codespaces?,data-engineering-zoomcamp,51
How can I make secrets available in GitHub Codespaces?,data-engineering-zoomcamp,51
What is the GitHub documentation for managing secrets in Codespaces?,data-engineering-zoomcamp,51
How do I ensure my secrets are accessible in GitHub Codespaces?,data-engineering-zoomcamp,51
Is the Docker daemon running?,data-engineering-zoomcamp,52
How do I start the Docker daemon?,data-engineering-zoomcamp,52
How to update WSL in PowerShell?,data-engineering-zoomcamp,52
What is the command to update WSL in PowerShell?,data-engineering-zoomcamp,52
What should I do if I can't connect to the Docker daemon?,data-engineering-zoomcamp,52
How do I enable Hyper-V on Windows 10/11 Pro to use Docker?,data-engineering-zoomcamp,53
Can I use Docker on Windows 10/11 Home without Hyper-V?,data-engineering-zoomcamp,53
How do I install WSL2 to use Docker on Windows 10/11 Home?,data-engineering-zoomcamp,53
What should I do if WslRegisterDistribution fails with error 0x800701bc?,data-engineering-zoomcamp,53
How can I update the WSL2 Linux Kernel?,data-engineering-zoomcamp,53
What does 'docker pull' do and how does it fetch Docker images?,data-engineering-zoomcamp,54
How do I handle private Docker repositories when using 'docker pull'?,data-engineering-zoomcamp,54
Why am I getting a 'permission denied' error when creating a PostgreSQL Docker container on macOS M1 with a mounted volume?,data-engineering-zoomcamp,54
How can I resolve the 'chown' error when trying to create a Docker container on macOS M1?,data-engineering-zoomcamp,54
What are the steps to switch from Rancher Desktop to Docker Desktop to resolve compatibility issues on macOS M1?,data-engineering-zoomcamp,54
How do I delete a local folder that's mounted to a Docker volume?,data-engineering-zoomcamp,55
Why can't I delete a folder created by Docker on my local machine?,data-engineering-zoomcamp,55
How can I remove a folder with read and write protection owned by user 999?,data-engineering-zoomcamp,55
What command can I use to forcefully delete a Docker-created folder?,data-engineering-zoomcamp,55
How do I change the location of a folder that's causing access errors in Obsidian?,data-engineering-zoomcamp,55
How do I update Docker for Windows to the latest version?,data-engineering-zoomcamp,56
Why is Docker stuck on starting?,data-engineering-zoomcamp,56
How can I switch between Windows and Linux containers?,data-engineering-zoomcamp,56
How do I enable Hyper-V on Windows 10/11 to run Docker?,data-engineering-zoomcamp,56
What are the steps to use WSL2 as the backend for Docker on Windows 10/11?,data-engineering-zoomcamp,56
Should I use Windows file system or Linux distribution in WSL for Docker commands?,data-engineering-zoomcamp,57
Is WSL2 required for Docker on Windows Home Edition?,data-engineering-zoomcamp,57
How to set up WSL2 for Docker on Windows Home Edition?,data-engineering-zoomcamp,57
What if Docker is still not working after setting up WSL2?,data-engineering-zoomcamp,57
What are the troubleshooting steps for Docker issues on Windows Home Edition?,data-engineering-zoomcamp,57
What's the best way to store my code in Docker for optimal file system performance on Windows 10/11 Home?,data-engineering-zoomcamp,58
Is it recommended to use the default Linux distro's file system for Docker on Windows Home/11 Home?,data-engineering-zoomcamp,58
Where can I find more information on Docker best practices for file system performance?,data-engineering-zoomcamp,58
How can I ensure optimal file system performance when using Docker on Windows Home/11 Home?,data-engineering-zoomcamp,58
Is there a specific file system I should use for my code when working with Docker on Windows Home/11 Home?,data-engineering-zoomcamp,58
What does the error 'The input device is not a TTY' mean when running Docker on Windows?,data-engineering-zoomcamp,59
How can I fix the 'The input device is not a TTY' error when using Docker on Windows?,data-engineering-zoomcamp,59
What is the solution to the 'The input device is not a TTY' error when running Docker on Windows using mintty?,data-engineering-zoomcamp,59
How can I make an alias to prefix 'winpty' before Docker commands in my .bashrc file?,data-engineering-zoomcamp,59
"What is another way to make an alias to prefix 'winpty' before Docker commands, besides using .bashrc?",data-engineering-zoomcamp,59
Why can't I pip install on a Docker container on Windows?,data-engineering-zoomcamp,60
How do I resolve a 'Temporary failure in name resolution' error when using pip in a Docker container on Windows?,data-engineering-zoomcamp,60
What command can I use to run a Docker container with a specific DNS setting on Windows?,data-engineering-zoomcamp,60
Why might I be having trouble connecting to the 'simple/pandas/' repository using pip in a Docker container on Windows?,data-engineering-zoomcamp,60
How can I specify a different entrypoint when running a Docker container on Windows?,data-engineering-zoomcamp,60
Why is my 'ny_taxi_postgres_data' folder empty even after running the Docker script?,data-engineering-zoomcamp,61
How can I ensure the folder isn't empty in VS Code?,data-engineering-zoomcamp,61
What's the correct way to quote the path in the -v parameter?,data-engineering-zoomcamp,61
Why are files not visible in the 'ny_taxi' folder in VS Code?,data-engineering-zoomcamp,61
How can I make the files visible in the 'ny_taxi' folder as shown in the video?,data-engineering-zoomcamp,61
How do I set up Docker on my Mac?,data-engineering-zoomcamp,62
Is the 'Setting up docker in macOS' article still relevant?,data-engineering-zoomcamp,62
Has Docker's licensing model change affected the setup process?,data-engineering-zoomcamp,62
What's the current recommended method to set up Docker on Mac?,data-engineering-zoomcamp,62
Can I still use the dmg file from the Docker website to set up Docker on my Mac?,data-engineering-zoomcamp,62
How do I resolve the 'Operation not permitted' error when changing permissions of the '/var/lib/postgresql/data' directory in Docker?,data-engineering-zoomcamp,63
What is the correct way to map a local docker volume to the postgres data directory '/var/lib/postgresql/data'?,data-engineering-zoomcamp,63
Why is the 'ny_taxi_postgres_data' folder empty after using an alternative configuration?,data-engineering-zoomcamp,63
How can I create a new database system if the '/var/lib/postgresql/data' directory exists but is not empty?,data-engineering-zoomcamp,63
What are the steps to verify that the docker volume 'dtc_postgres_volume_local' has been created and is listed in the Docker Desktop app?,data-engineering-zoomcamp,63
What are the different ways to map volumes on Windows in Docker?,data-engineering-zoomcamp,64
How can I resolve the 'invalid reference format: repository name must be lowercase' error when mounting volumes on Windows?,data-engineering-zoomcamp,64
What are the recommended volume mapping options for Windows users?,data-engineering-zoomcamp,64
How can I use the $(pwd) command in volume mapping on Windows?,data-engineering-zoomcamp,64
What are the alternative solutions if volume mapping using path doesn't work on Windows?,data-engineering-zoomcamp,64
What should I do if I encounter an error response from the Docker daemon regarding an invalid mode for a mounting path?,data-engineering-zoomcamp,65
How can I correctly mount a volume in Docker for PostgreSQL data?,data-engineering-zoomcamp,65
What are the acceptable paths for mounting PostgreSQL data in Docker?,data-engineering-zoomcamp,65
Why am I getting an error when trying to mount my PostgreSQL data at \\Program Files\Git\var\lib\postgresql\data?,data-engineering-zoomcamp,65
What are the alternative paths I can use to mount my PostgreSQL data in Docker?,data-engineering-zoomcamp,65
Why am I encountering the error 'mkdir /run/desktop/mnt/host/c: file exists' when running Docker?,data-engineering-zoomcamp,66
How can I resolve the issue of a file already existing when trying to create a build mount source path?,data-engineering-zoomcamp,66
What should I do differently when running the Docker command the second time?,data-engineering-zoomcamp,66
Why is it not recommended to mount a volume on the second run of the Docker command?,data-engineering-zoomcamp,66
How can I modify the Docker run command to avoid the 'file exists' error?,data-engineering-zoomcamp,66
What causes the 'can't stat' error when running docker build?,data-engineering-zoomcamp,67
How can I fix the 'can't stat' error without changing the entire directory?,data-engineering-zoomcamp,67
What files are necessary to run the docker build command successfully?,data-engineering-zoomcamp,67
What is the command to change the permission of a directory on Ubuntu?,data-engineering-zoomcamp,67
How can I take ownership of a file or folder through command prompt in Windows?,data-engineering-zoomcamp,67
What could be causing the 'ERRO[0000] error waiting for container: context canceled' issue with Docker?,data-engineering-zoomcamp,68
How can I verify if Docker was installed via snap?,data-engineering-zoomcamp,68
What should I do if 'snap status docker' returns an error?,data-engineering-zoomcamp,68
How can I check if a port is already in use before binding it in Docker?,data-engineering-zoomcamp,68
What is the recommended way to install Docker if it's currently installed via snap?,data-engineering-zoomcamp,68
Why am I getting a build error in Docker with the message 'can’t stat'?,data-engineering-zoomcamp,69
How do I resolve the 'can’t stat' error in Docker?,data-engineering-zoomcamp,69
What permissions issue might be causing the 'can’t stat' error in Docker?,data-engineering-zoomcamp,69
How can I grant permissions to a folder in Linux to resolve the 'can’t stat' error in Docker?,data-engineering-zoomcamp,69
"What is the command to give everyone read, write, and execute permissions to a folder in Linux?",data-engineering-zoomcamp,69
Why am I getting a 'permission denied' error when trying to build my Docker container again on Ubuntu/Linux?,data-engineering-zoomcamp,70
How can I resolve the 'failed to read dockerfile' error when running 'docker build'?,data-engineering-zoomcamp,70
What permissions should I grant to the Docker files folder to avoid this error?,data-engineering-zoomcamp,70
Why does running 'docker build' again cause this issue even though it worked before?,data-engineering-zoomcamp,70
How can I ensure I have the correct permissions to build my Docker container without using 'sudo'?,data-engineering-zoomcamp,70
How do I find the name of a Docker network?,data-engineering-zoomcamp,71
What command lists all Docker networks and their IDs?,data-engineering-zoomcamp,71
How can I view the details of a specific Docker network?,data-engineering-zoomcamp,71
How do I inspect a Docker network for more information?,data-engineering-zoomcamp,71
What command shows all Docker networks along with their driver and scope?,data-engineering-zoomcamp,71
What does the error 'Conflict. The container name is already in use' mean in Docker?,data-engineering-zoomcamp,72
How can I reuse a container name that's already in use by another container?,data-engineering-zoomcamp,72
What command should I use to stop and remove a Docker container with a specific name?,data-engineering-zoomcamp,72
How can I restart a Docker image without removing it?,data-engineering-zoomcamp,72
What's the difference between using 'docker run' and 'docker start'?,data-engineering-zoomcamp,72
What is the typical error when using Docker and Docker Compose for ingestion and why does it occur?,data-engineering-zoomcamp,73
How can I resolve the 'sqlalchemy.exc.OperationalError: (psycopg2.OperationalError) could not translate host name' error when using Docker Compose?,data-engineering-zoomcamp,73
"When running 'docker-compose up -d', how can I determine the network name to use for the ingestion script instead of 'pg-network'?",data-engineering-zoomcamp,73
"What is the correct database name to use in the ingestion script when using Docker Compose, instead of 'pgdatabase'?",data-engineering-zoomcamp,73
"How does the network and database name change when using Docker Compose, and what is the new format?",data-engineering-zoomcamp,73
How can I install Docker on a MacOS/Windows 11 VM running on Linux?,data-engineering-zoomcamp,74
What commands should I run to enable nested virtualization for Docker on an Intel CPU?,data-engineering-zoomcamp,74
How do I enable nested virtualization for Docker on an AMD CPU?,data-engineering-zoomcamp,74
Why can't I install Docker on my MacOS/Windows 11 VM running on Linux?,data-engineering-zoomcamp,74
What are the steps to enable Docker on a nested VM?,data-engineering-zoomcamp,74
How do I connect to Docker from VS Code?,data-engineering-zoomcamp,75
How can I stop a Docker container?,data-engineering-zoomcamp,75
Can VS Code connect to Docker running on WSL2?,data-engineering-zoomcamp,75
What command is used to stop a Docker container?,data-engineering-zoomcamp,75
How do I manage Docker projects from VS Code?,data-engineering-zoomcamp,75
Why is my Docker PostgreSQL database not accepting requests?,data-engineering-zoomcamp,76
How do I fix the 'server closed the connection unexpectedly' error?,data-engineering-zoomcamp,76
